Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec,,,,,,,
44168.93,,,0.043,3450.7,0,0,0,0,0,0,,,0,,44168.93,0,0,0.043,3450.7,,,,,,,,,,,,,,,,,,,
51899.79,,,0.037,4054.67,0,0,0,0,0,0,,,0,,51899.79,0,0,0.037,4054.67,,,,,,,,,,,,,,,,,,,
16.88,,,118.509,1.32,0,0,0,0,0,0,,,0,,16.88,0,0,118.509,1.32,,,,,,,,,,,,,,,,,,,
45036.73,,,0.043,3518.49,0,0,0,0,0,0,,,0,,45036.73,0,0,0.043,3518.49,,,,,,,,,,,,,,,,,,,
43545.85,,,0.044,3402.02,0,0,0,0,0,0,,,0,,43545.85,0,0,0.044,3402.02,,,,,,,,,,,,,,,,,,,
38371,,,0.051,2997.73,0,0,0,0,0,0,,,0,,38371,0,0,0.051,2997.73,,,,,,,,,,,,,,,,,,,
17.03,,,117.454,1.33,0,0,0,0,0,0,,,0,,17.03,0,0,117.454,1.33,,,,,,,,,,,,,,,,,,,
42912.38,,,0.045,3352.53,0,0,0,0,0,0,,,0,,42912.38,0,0,0.045,3352.53,,,,,,,,,,,,,,,,,,,
46231.44,,,0.042,3611.83,0,0,0,0,0,0,,,0,,46231.44,0,0,0.042,3611.83,,,,,,,,,,,,,,,,,,,
47033.15,,,0.041,3674.46,0,0,0,0,0,0,,,0,,47033.15,0,0,0.041,3674.46,,,,,,,,,,,,,,,,,,,
49242.41,,,0.039,3847.06,0,0,0,0,0,0,,,0,,49242.41,0,0,0.039,3847.06,,,,,,,,,,,,,,,,,,,
16.92,,,118.196,1.32,0,0,0,0,0,0,,,0,,16.92,0,0,118.196,1.32,,,,,,,,,,,,,,,,,,,
16.81,,,118.975,1.31,0,0,0,0,0,0,,,0,,16.81,0,0,118.975,1.31,,,,,,,,,,,,,,,,,,,
47439.46,,,0.041,3706.21,0,0,0,0,0,0,,,0,,47439.46,0,0,0.041,3706.21,,,,,,,,,,,,,,,,,,,
44728.52,,,0.043,3494.42,0,0,0,0,0,0,,,0,,44728.52,0,0,0.043,3494.42,,,,,,,,,,,,,,,,,,,
43521.97,,,0.044,3400.15,0,0,0,0,0,0,,,0,,43521.97,0,0,0.044,3400.15,,,,,,,,,,,,,,,,,,,
46324.93,,,0.041,3619.13,0,0,0,0,0,0,,,0,,46324.93,0,0,0.041,3619.13,,,,,,,,,,,,,,,,,,,
32.61,,,61.259,2.55,0,0,0,0,0,0,,,0,,32.61,0,0,61.259,2.55,,,,,,,,,,,,,,,,,,,
17.04,,,117.4,1.33,0,0,0,0,0,0,,,0,,17.04,0,0,117.4,1.33,,,,,,,,,,,,,,,,,,,
44140.85,,,0.044,3448.5,0,0,0,0,0,0,,,0,,44140.85,0,0,0.044,3448.5,,,,,,,,,,,,,,,,,,,
16.85,,,118.68,1.32,0,0,0,0,0,0,,,0,,16.85,0,0,118.68,1.32,,,,,,,,,,,,,,,,,,,
17.09,,,117.044,1.33,0,0,0,0,0,0,,,0,,17.09,0,0,117.044,1.33,,,,,,,,,,,,,,,,,,,
47521.4,,,0.04,3712.61,0,0,0,0,0,0,,,0,,47521.4,0,0,0.04,3712.61,,,,,,,,,,,,,,,,,,,
